,about,age,"b""Adapts Well To Apartment Living","b""Affectionate With Family","b""Dog Friendly","b""Drooling Potential","b""Energy Level","b""Exercise Needs","b""General Health","b""Good For Novice Owners","b""Intelligence","b""Intensity","b""Kid-Friendly","b""Potential For Weight Gain","b""Prey Drive","b""Size","b""Tolerates Hot Weather","b""Wanderlust Potential",b'Amount Of Shedding,b'Easy To Groom,b'Easy To Train,b'Friendly Toward Strangers,b'Potential For Mouthiness,b'Potential For Playfulness,b'Sensitivity Level,b'Tendency To Bark Or Howl,b'Tolerates Being Alone,b'Tolerates Cold Weather,group,height,url,weight
0,"b'The Afador is a mixed breed dog\xe2\x80\x93a cross between the Afghan Hound and Labrador Retriever dog breeds. Loyal, energetic, and affectionate, these pups inherited some of the best qualities from both of their parents.Afadors are also sometimes known as the Afghan Lab. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don\xe2\x80\x99t shop if you\xe2\x80\x99re looking to add an Afador to your home!Afadors make excellent family pets, although they do better with older children and seasoned dog owners who can give the breed the training and attention they require. Afadors also make for good guard dogs, and they\xe2\x80\x99re alert to strangers. The mixed breed is very energetic and athletic, so access to a safe outdoor space is preferred.See below for all mixed dog breed traits and facts about Afadors!Afador Mixed Dog Breed Picture (Picture Credit: posted with permission from LA Animal Rescue & Jason Nastaszewski of JNC Media)'",10 to 12 years',1,4,3,3,4,4,3,1,5,4,2,4,4,4,2,4,4,2,1,1,4,3,3,4,3,4,Mixed Breed Dogs',20 to 29 inches',https://dogtime.com/dog-breeds/afador,50 to 75 pounds'
1,"b'The Affenhuahua is a mixed breed dog\xe2\x80\x93a cross between the Chihuahua and\xc2\xa0Affenpinscher dog breeds. Petite, sassy, and highly energetic, these pups inherited some of the best traits from both of their parents.Affenhuahuas are also sometimes called Affen Chi. Despite their status as a designer breed, you can find these mixed breed dogs in shelters and rescues, so adopt! Don\xe2\x80\x99t shop!These compact, cute pups make great apartment dogs for active city dwellers, though they can also thrive in small or single-person households. They can also be a bit territorial and yappy. If you want an energetic, sassy dog who will keep you on your toes, alert you to any dangers, and love you unconditionally, the Affenhuahua may be the right dog for you!DogTime recommends this carrier for traveling with your small Affenhuahua.\xc2\xa0 You should also pick up this dog water bottle for any outdoor adventures you have with your pup!See below for all mixed dog breed traits and facts about Affenhuahuas!Affenhuahua Dog Breed Picture (Picture Credit: Dhwee/Getty Images)'",13 to 18 years',4,4,2,1,4,3,4,4,3,3,3,5,2,1,3,2,2,4,3,2,4,3,4,4,1,2,Mixed Breed Dogs',6 to 12 inches',https://dogtime.com/dog-breeds/affenhuahua,4 to 12 pounds'
2,"b'Dogs of the Affenpinscher breed were originally created to act as ratters in homes, stables, and shops. Bred down in size, they moved up in the world, becoming ladies\xe2\x80\x99 companions. Today, they are happy, mischievous companion dogs.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.Affenpinschers adore their humans, but they prefer the company of adults. They don\xe2\x80\x99t take well to rough play, chasing, or being held on a lap without the freedom to jump down on their own time. But grown-up pet parents will find that these dogs are loving, loyal, and protective despite their small size.See below for complete list of dog breed traits and facts about Affenpinschers!Affenpinscher Dog Breed Pictures Affenpinscher Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogTimeInitiate Gallery'",12 to 14 years',5,5,4,1,4,3,4,4,4,3,1,3,3,1,3,2,1,3,2,3,4,4,3,2,1,3,Companion Dogs',9 to 11 inches tall at the shoulder',https://dogtime.com/dog-breeds/affenpinscher,7 to 9 pounds'
3,"b'The Afghan Hound is elegance personified. This unique, ancient dog breed has an appearance quite unlike any other: dramatic silky coat, exotic face, and thin, fashion-model build. Looks aside, Afghan enthusiasts describe this hound as both aloof and comical.Hailing from Afghanistan, where the original name for the breed was Tazi, the Afghan is thought to date back to the pre-Christian era and is considered one of the oldest dog breeds.\xc2\xa0Although they\xe2\x80\x99re purebred dogs, you may find Afghan Hounds in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible!Affectionate and adaptable, these dogs do well in just about any size of home with any size of family. That said, you\xe2\x80\x99ll need to spend quite a bit of time maintaining that luxurious coat, not to mention plenty of exercise to handle their high energy levels. If you can provide the care that they need, you\xe2\x80\x99ll have a loving companion who will surely turn heads with their gorgeous looks.DogTime recommends this big, spacious crate to give your big Afghan a place to rest and relax.\xc2\xa0You should also pick up this dog brush and massager for your long-haired pup!See all Afghan Hound characteristics below!Afghan Hound Dog Breed Pictures Afghan Hound Dog Breed Information, Pictures, Characteristics & Facts - DogTimeInitiate Gallery'",10 to 12 years',5,5,4,1,5,4,3,3,4,2,5,1,5,4,5,5,4,1,1,2,3,4,5,2,2,5,Hound Dogs',24 to 26 inches tall at the shoulder',https://dogtime.com/dog-breeds/afghan-hound,50 to 60 pounds'
4,"b'Known as the \xe2\x80\x9cKing of Terriers,\xe2\x80\x9d the Airedale is indeed the largest of all terriers. The dog breed originated in the Aire Valley of Yorkshire and was created to catch otters and rats in the region between the Aire and Wharfe Rivers. An able sporting dog, they became an ideal working dog as well, proving their worth during World War I.Although these are purebred dogs, you may find them in the care of rescue groups or shelters. Opt to adopt if you want to bring one of these pups home!PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""dogbreeds_300x250_p_slot1"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[]""},{""viewport"":""[750, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[980, 0]"",""sizes"":""[[300, 250]]""}],""targeting"":{""pos"":""P"",""ct"":""article"",""ci"":""23050"",""content_detail"":1,""kw"":""dog-breed,high-energy,long-hair,low-shedding,medium-dog,outdoor,purebred,in-article"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""pb_prebidjs_300x250_a"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[750, 0]"",""sizes"":""[]""},{""viewport"":""[980, 0]"",""sizes"":""[]""}],""targeting"":{""pos"":""A"",""ct"":""article"",""ci"":""23050"",""content_detail"":1,""kw"":""dog-breed,high-energy,long-hair,low-shedding,medium-dog,outdoor,purebred,in-article-mobile"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}Intelligent, outgoing, and confident, the Airedale Terrier possesses a wonderful playful streak that delights their humans. Novice pet parents and apartment dwellers should beware, though. These dogs have high energy and need plenty of exercise, and their intensity might be a little much for first-time dog trainers. But if you can meet the breed\xe2\x80\x99s physical needs and provide them with space to run, preferably in the form of a big yard with a tall, secure fence, then you\xe2\x80\x99ll be rewarded with a playful, loving companion for the whole family\xe2\x80\x93even kids!DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Airedale Terrier.\xc2\xa0You should also pick up this dog fetch toy to help burn off your pup\xe2\x80\x99s high energy!See all Airedale Terrier dog breed facts and characteristics below!Airedale Terrier Dog Breed Pictures Airedale Terrier Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",10 to 13 years',1,4,4,1,5,5,3,2,5,3,4,4,5,3,3,4,2,2,4,3,5,5,3,4,2,3,Terrier Dogs',21 to 23 inches tall at the shoulder',https://dogtime.com/dog-breeds/airedale-terrier,40 to 65 pounds'
5,"b'The Akbash is a rare, purebred dog from the country of Turkey. Loyal, alert, and intelligent, these pups have some of the best qualities you could ask for.These pooches go by several other names, including Coban Kopegi, Akba\xc5\x9f \xc3\x87oban K\xc3\xb6pe\xc4\x9fi, and Askbash Dog. Despite their status as a rare breed, you may find these purebred dogs at local shelters or rescues. Remember it\xe2\x80\x99s always better to adopt and not shop!These amazing pups are very protective of their families and have strong guarding instincts. They\xe2\x80\x99re big dogs and better suited for larger homes with yards or near open areas where they can roam around. They\xe2\x80\x99re fiercely independent but love to be around their human family. Akbashes are great with children but need early socialization if they\xe2\x80\x99ll live with other dogs or pets in the home. If you want a protective and loyal dog who will love you unconditionally, then the Akbash may be right for you!See below for all Akbash facts and dog breed characteristics!Akbash Dog Breed Pictures Akbash Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",10 to 12 years',1,5,3,2,2,2,4,2,4,2,4,4,1,4,2,1,4,3,3,2,3,3,3,3,4,4,Working Dogs',27 to 34 inches',https://dogtime.com/dog-breeds/akbash,75 to 140 pounds'
6,"b'The Akita is a large and powerful dog breed with a noble and intimidating presence. They were originally used for guarding royalty and nobility in feudal Japan. These dogs also tracked and hunted wild boar, black bear, and sometimes deer.The Akita does not back down from challenges and does not frighten easily. Consequently, they are fearless and loyal guardians of their families. Yet they are also affectionate, respectful, and amusing dogs when properly trained and socialized.An Akita is bound to shed quite a bit, and you may be wiping some drool from their face if you bring one home. Certainly, owners should be prepared for some cleanup. Furthermore, they tend to be stubborn and are not overly fond of strangers. While those can be good traits for a watchdog, they\xe2\x80\x99ll need an experienced trainer if they\xe2\x80\x99re to interact with other animals or people. Novices beware.That said, dogs of this breed are faithful companions that will be attached to the right human for life and shower them with adoration and love. Therefore, if you and your family are up for the challenge and consider adopting an Akita, you\xe2\x80\x99ll have a lifelong friend who won\xe2\x80\x99t let you down.Also, see all Akita dog breed characteristics below!Akita Dog Breed Pictures Akita Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",10 to 12 years',2,5,1,5,4,4,4,2,3,3,1,4,4,4,2,4,5,1,2,2,3,5,5,5,1,5,Working Dogs',"2 feet to 2 feet, 4 inches tall at the shoulder'",https://dogtime.com/dog-breeds/akita,70 to 130 pounds'
7,"b'The Akita Chow is a mixed breed dog\xe2\x80\x93a cross between the Akita and Chow Chow dog breeds. Large, independent, and loyal, these pups inherited some of the best traits from both of their parents.The Akita Chow can also be called Chakita. Despite their unfortunate status as a designer breed, you may find these mixed breed pups in shelters and breed specific rescues, so remember to adopt! Don\xe2\x80\x99t shop!Akita Chows are quiet, and while they may not be overly affectionate, they are incredibly protective and loyal. Expert dog parents recommended! You will have your work cut out for you with training, as they\xe2\x80\x99re known for being willful and can even be obstinate. The Akita Chow would make a great addition for an active family with older children or in a single person home, so long as they get plenty of exercise and will not be left alone for long periods.They wouldn\xe2\x80\x99t be suitable for an apartment but would love a house with a yard so they have plenty of room to stretch their legs. You\xe2\x80\x99ll also need to invest a fair amount of time into their training. Akita Chows would make great walking, running, or hiking companions. This is a highly intelligent dog. Keep them stimulated and keep them content!DogTime recommends this big, spacious crate to give your big Akita Chow\xc2\xa0a place to rest and relax.\xc2\xa0You should also pick up this dog de-shedder for your high shedding pup!See below for all\xc2\xa0Akita Chow facts and mixed dog breed characteristics!Akita Chow Mixed Dog Breed Picture (Picture Credit: Seregraff/Getty Images)'",10 to 12 years',2,1,1,3,4,4,2,1,4,4,1,4,4,4,2,3,4,1,2,2,3,2,4,2,2,5,Mixed Breed Dogs',23 to 25 inches',https://dogtime.com/dog-breeds/akita-chow,88 to 145 pounds'
8,"b'The Akita Pit is a mixed breed dog\xe2\x80\x93a cross between the Akita and American Pit Bull Terrier dog breeds. Intelligent, protective, and loyal, these pups inherited some of the best traits from both of their parents.Akita Pits are also sometimes called Pit Akita or Akita Pit Bull. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and rescues, especially given how many Pit Bull mixes are in shelters. So remember to adopt! Don\xe2\x80\x99t shop!These adorable dogs are fairly adaptable and can thrive in smaller homes with active urban dwellers, though they\xe2\x80\x99re best suited to larger homes or families. If you want a protective dog who will test your boundaries every once in a while, alert you to any dangers, and love you unconditionally, then the Akita Pit may be the right dog for you!DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Akita Pit.\xc2\xa0You should also pick up this dog brush and massager for your short-haired pup!See below for all mixed dog breed traits and facts about Akita Pits!Akita Pit Mixed Dog Breed Picture (Picture Credit: Alexandra Draghici/Getty Images)'",10 to 12 years',3,4,3,3,3,3,4,1,4,4,3,4,4,4,3,1,3,4,3,2,3,3,2,3,4,3,Mixed Breed Dogs',16 to 23 inches',https://dogtime.com/dog-breeds/akita-pit,30 to 70 pounds'
9,"b'An Akita Shepherd is a mixed breed dog\xe2\x80\x93a cross between the Akita and German Shepherd Dog breeds. Stoic, loyal, and hard-working, these pups inherited some of the best traits from both of their parents.The Akita Shepherd is sometimes also called a Shepkita. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don\xe2\x80\x99t shop!These adorable mixed breed dogs make great apartment pups for active urban dwellers, though as a larger dog, they are best suited to houses or homes with more space. They are quiet but alert, which also makes them excellent watchdogs for both singles and families. If you want a stoic, loyal dog who\xe2\x80\x99s eager to please and will alert you of any potential danger, the Akita Shepherd might be the right dog for you.DogTime recommends this big, spacious crate to give your big Akita Shepherd a place to rest and relax.\xc2\xa0You should also pick up this dog brush and massager for your long-haired pup!See below for all mixed dog breed traits and facts about Akita Shepherds!Akita Shepherd Mixed Dog Breed Picture (Picture Credit: Alexandra Draghici/Getty Images)'",10 to 13 years',3,4,3,2,3,4,3,3,4,3,3,3,3,4,3,2,4,3,4,3,2,3,2,1,3,4,Mixed Breed Dogs',24 to 28 inches',https://dogtime.com/dog-breeds/akita-shepherd,75 to 120 pounds'
